,level_0,index,Date,precipMM,tempC,year
134,134,134,2016-05-14,0.0,7.25,2016
135,135,135,2016-05-15,0.0,11.125,2016
136,136,136,2016-05-16,0.0,12.125,2016
137,137,137,2016-05-17,0.8999999999999999,13.125,2016
138,138,138,2016-05-18,0.0,12.875,2016
139,139,139,2016-05-19,2.2,16.375,2016
140,140,140,2016-05-20,1.7999999999999998,15.25,2016
141,141,141,2016-05-21,0.1,15.625,2016
142,142,142,2016-05-22,0.0,19.375,2016
143,143,143,2016-05-23,2.0,19.75,2016
144,144,144,2016-05-24,1.9,21.25,2016
145,145,145,2016-05-25,4.2,21.25,2016
146,146,146,2016-05-26,17.500000000000004,19.25,2016
147,147,147,2016-05-27,0.7,21.5,2016
148,148,148,2016-05-28,0.6000000000000001,21.375,2016
149,149,149,2016-05-29,0.0,19.625,2016
150,150,150,2016-05-30,0.1,22.125,2016
151,151,151,2016-05-31,0.6,18.75,2016
152,152,152,2016-06-01,0.1,18.0,2016
153,153,153,2016-06-02,0.5,18.375,2016
154,154,154,2016-06-03,5.2,21.625,2016
155,155,155,2016-06-04,0.1,18.125,2016
156,156,156,2016-06-05,0.0,20.375,2016
157,157,157,2016-06-06,0.0,19.125,2016
158,158,158,2016-06-07,0.0,17.25,2016
159,159,159,2016-06-08,1.6,20.875,2016
160,160,160,2016-06-09,0.7999999999999999,26.125,2016
161,161,161,2016-06-10,4.199999999999999,26.5,2016
162,162,162,2016-06-11,1.5,28.0,2016
163,163,163,2016-06-12,0.3,27.75,2016
164,164,164,2016-06-13,2.0,25.875,2016
165,165,165,2016-06-14,0.7,24.5,2016
166,166,166,2016-06-15,1.8,22.125,2016
167,167,167,2016-06-16,1.7,21.75,2016
168,168,168,2016-06-17,0.1,24.375,2016
169,169,169,2016-06-18,0.0,24.625,2016
170,170,170,2016-06-19,0.0,26.125,2016
171,171,171,2016-06-20,0.4,24.125,2016
172,172,172,2016-06-21,3.1,23.25,2016
173,173,173,2016-06-22,0.2,25.25,2016
174,174,174,2016-06-23,0.0,20.25,2016
175,175,175,2016-06-24,0.4,22.75,2016
176,176,176,2016-06-25,0.9,26.125,2016
177,177,177,2016-06-26,0.0,24.625,2016
178,178,178,2016-06-27,0.0,23.0,2016
179,179,179,2016-06-28,0.0,20.125,2016
180,180,180,2016-06-29,4.2,20.375,2016
181,181,181,2016-06-30,2.5000000000000004,21.375,2016
182,182,182,2016-07-01,0.0,18.0,2016
183,183,183,2016-07-02,0.2,17.625,2016
184,184,184,2016-07-03,0.0,17.25,2016
185,185,185,2016-07-04,0.0,18.75,2016
186,186,186,2016-07-05,2.0,25.0,2016
187,187,187,2016-07-06,0.1,24.125,2016
188,188,188,2016-07-07,0.0,24.375,2016
189,189,189,2016-07-08,0.0,21.375,2016
190,190,190,2016-07-09,0.0,21.625,2016
191,191,191,2016-07-10,0.3,24.375,2016
192,192,192,2016-07-11,9.1,26.375,2016
193,193,193,2016-07-12,0.0,22.875,2016
194,194,194,2016-07-13,0.7,22.875,2016
195,195,195,2016-07-14,0.0,21.375,2016
196,196,196,2016-07-15,0.0,17.875,2016
197,197,197,2016-07-16,0.0,20.75,2016
198,198,198,2016-07-17,0.0,24.625,2016
199,199,199,2016-07-18,1.6,23.875,2016
200,200,200,2016-07-19,0.6,23.125,2016
201,201,201,2016-07-20,0.6,23.125,2016
202,202,202,2016-07-21,2.5,22.375,2016
203,203,203,2016-07-22,5.6,23.625,2016
204,204,204,2016-07-23,0.8999999999999999,22.25,2016
205,205,205,2016-07-24,0.4,22.5,2016
206,206,206,2016-07-25,0.8999999999999999,23.125,2016
207,207,207,2016-07-26,0.4,22.25,2016
208,208,208,2016-07-27,0.2,21.625,2016
209,209,209,2016-07-28,0.1,20.875,2016
210,210,210,2016-07-29,0.9,19.375,2016
211,211,211,2016-07-30,0.0,20.5,2016
212,212,212,2016-07-31,0.7,22.25,2016
213,213,213,2016-08-01,2.5,23.0,2016
214,214,214,2016-08-02,1.3,25.0,2016
215,215,215,2016-08-03,0.0,25.125,2016
216,216,216,2016-08-04,1.8,25.625,2016
217,217,217,2016-08-05,0.0,20.25,2016
218,218,218,2016-08-06,0.0,19.25,2016
219,219,219,2016-08-07,0.0,19.625,2016
220,220,220,2016-08-08,0.0,20.25,2016
221,221,221,2016-08-09,0.0,23.75,2016
222,222,222,2016-08-10,2.5,26.375,2016
223,223,223,2016-08-11,9.3,26.0,2016
224,224,224,2016-08-12,3.6,22.0,2016
225,225,225,2016-08-13,0.1,21.25,2016
226,226,226,2016-08-14,0.0,20.875,2016
227,227,227,2016-08-15,0.0,20.875,2016
228,228,228,2016-08-16,0.7,22.375,2016
229,229,229,2016-08-17,0.4,23.125,2016
230,230,230,2016-08-18,0.0,25.375,2016
231,231,231,2016-08-19,4.7,23.125,2016
232,232,232,2016-08-20,0.2,17.375,2016
233,233,233,2016-08-21,0.0,17.375,2016
234,234,234,2016-08-22,0.0,21.5,2016
235,235,235,2016-08-23,11.7,22.75,2016
236,236,236,2016-08-24,0.1,21.5,2016
237,237,237,2016-08-25,0.0,18.0,2016
238,238,238,2016-08-26,0.1,17.625,2016
239,239,239,2016-08-27,0.0,20.0,2016
240,240,240,2016-08-28,0.0,23.5,2016
241,241,241,2016-08-29,0.0,23.875,2016
242,242,242,2016-08-30,0.4,20.75,2016
243,243,243,2016-08-31,0.0,16.75,2016
244,244,244,2016-09-01,0.0,18.25,2016
245,245,245,2016-09-02,0.0,17.375,2016
246,246,246,2016-09-03,0.0,19.125,2016
247,247,247,2016-09-04,0.0,20.75,2016
248,248,248,2016-09-05,3.0999999999999996,24.375,2016
249,249,249,2016-09-06,2.7,25.75,2016
250,250,250,2016-09-07,10.0,22.125,2016
251,251,251,2016-09-08,0.4,20.5,2016
252,252,252,2016-09-09,6.5,19.75,2016
253,253,253,2016-09-10,0.0,15.875,2016
254,254,254,2016-09-11,0.0,18.375,2016
255,255,255,2016-09-12,2.2,20.375,2016
256,256,256,2016-09-13,1.9,14.625,2016
257,257,257,2016-09-14,0.0,14.375,2016
258,258,258,2016-09-15,22.599999999999998,19.875,2016
259,259,259,2016-09-16,0.9,18.875,2016
260,260,260,2016-09-17,0.0,16.375,2016
261,261,261,2016-09-18,0.0,20.625,2016
262,262,262,2016-09-19,0.0,21.25,2016
263,263,263,2016-09-20,2.4,21.75,2016
264,264,264,2016-09-21,2.2,25.875,2016
265,265,265,2016-09-22,12.1,23.25,2016
266,266,266,2016-09-23,3.9,22.875,2016
267,267,267,2016-09-24,2.2,22.25,2016
268,268,268,2016-09-25,3.5,16.625,2016
269,269,269,2016-09-26,0.0,13.5,2016
270,270,270,2016-09-27,0.0,14.25,2016
271,271,271,2016-09-28,0.0,11.125,2016
272,272,272,2016-09-29,0.0,12.875,2016
273,273,273,2016-09-30,0.0,14.625,2016
274,274,274,2016-10-01,0.0,14.625,2016
275,275,275,2016-10-02,0.0,15.5,2016
276,276,276,2016-10-03,0.0,16.75,2016
277,277,277,2016-10-04,2.2,18.25,2016
278,278,278,2016-10-05,0.1,14.75,2016
279,279,279,2016-10-06,0.7,13.0,2016
280,280,280,2016-10-07,0.0,8.375,2016
281,281,281,2016-10-08,0.0,11.375,2016
282,282,282,2016-10-09,0.0,10.875,2016
283,283,283,2016-10-10,1.2,14.125,2016
284,284,284,2016-10-11,0.1,15.5,2016
285,285,285,2016-10-12,1.7,6.875,2016
286,286,286,2016-10-13,0.0,6.5,2016
287,287,287,2016-10-14,0.0,11.75,2016
288,288,288,2016-10-15,0.30000000000000004,18.625,2016
289,289,289,2016-10-16,0.4,17.875,2016
290,290,290,2016-10-17,0.0,19.875,2016
291,291,291,2016-10-18,0.0,15.125,2016
292,292,292,2016-10-19,0.0,12.875,2016
293,293,293,2016-10-20,0.1,7.25,2016
294,294,294,2016-10-21,0.0,8.375,2016
295,295,295,2016-10-22,0.0,13.5,2016
296,296,296,2016-10-23,0.0,13.75,2016
297,297,297,2016-10-24,0.0,9.125,2016
298,298,298,2016-10-25,0.5,11.125,2016
299,299,299,2016-10-26,5.9,10.25,2016
300,300,300,2016-10-27,0.0,9.875,2016
301,301,301,2016-10-28,0.0,17.625,2016
302,302,302,2016-10-29,0.2,14.25,2016
303,303,303,2016-10-30,0.0,7.875,2016
304,304,304,2016-10-31,0.0,11.75,2016
305,305,305,2016-11-01,0.0,14.875,2016
306,306,306,2016-11-02,0.0,13.125,2016
307,307,307,2016-11-03,0.0,12.625,2016
308,308,308,2016-11-04,0.0,13.75,2016
309,309,309,2016-11-05,0.0,14.875,2016
310,310,310,2016-11-06,0.0,13.375,2016
311,311,311,2016-11-07,0.0,11.875,2016
312,312,312,2016-11-08,0.0,10.0,2016
313,313,313,2016-11-09,0.0,8.0,2016
314,314,314,2016-11-10,0.0,11.25,2016
315,315,315,2016-11-11,0.0,7.625,2016
316,316,316,2016-11-12,0.0,5.875,2016
317,317,317,2016-11-13,0.0,9.625,2016
318,318,318,2016-11-14,0.0,9.125,2016
319,319,319,2016-11-15,0.0,9.75,2016
320,320,320,2016-11-16,0.0,11.375,2016
321,321,321,2016-11-17,0.0,13.75,2016
322,322,322,2016-11-18,0.0,4.125,2016
323,323,323,2016-11-19,0.0,-1.875,2016
324,324,324,2016-11-20,0.0,-1.875,2016
325,325,325,2016-11-21,0.0,0.625,2016
326,326,326,2016-11-22,2.8999999999999995,3.0,2016
327,327,327,2016-11-23,0.30000000000000004,2.875,2016
328,328,328,2016-11-24,0.0,2.0,2016
329,329,329,2016-11-25,0.0,2.625,2016
330,330,330,2016-11-26,0.0,4.875,2016
331,331,331,2016-11-27,0.2,6.0,2016
332,332,332,2016-11-28,0.0,7.5,2016
333,333,333,2016-11-29,0.1,2.125,2016
334,334,334,2016-11-30,0.2,0.625,2016
335,335,335,2016-12-01,0.0,0.625,2016
336,336,336,2016-12-02,0.0,0.75,2016
337,337,337,2016-12-03,1.1,-0.375,2016
338,338,338,2016-12-04,1.3,0.125,2016
339,339,339,2016-12-05,0.4,2.5,2016
340,340,340,2016-12-06,0.1,-3.625,2016
341,341,341,2016-12-07,0.0,-8.375,2016
342,342,342,2016-12-08,0.0,-9.25,2016
343,343,343,2016-12-09,0.0,-9.125,2016
344,344,344,2016-12-10,0.5,-7.0,2016
345,345,345,2016-12-11,0.1,-5.625,2016
346,346,346,2016-12-12,0.0,-11.75,2016
347,347,347,2016-12-13,0.0,-14.0,2016
348,348,348,2016-12-14,0.0,-12.25,2016
349,349,349,2016-12-15,0.0,-15.375,2016
350,350,350,2016-12-16,0.0,-10.5,2016
351,351,351,2016-12-17,0.1,-15.25,2016
352,352,352,2016-12-18,0.0,-20.875,2016
353,353,353,2016-12-19,0.0,-10.125,2016
354,354,354,2016-12-20,0.0,-3.125,2016
355,355,355,2016-12-21,0.0,-0.25,2016
356,356,356,2016-12-22,0.0,-1.875,2016
357,357,357,2016-12-23,2.5999999999999996,0.125,2016
358,358,358,2016-12-24,0.0,-2.5,2016
359,359,359,2016-12-25,4.0,3.25,2016
360,360,360,2016-12-26,0.0,-2.375,2016
361,361,361,2016-12-27,0.0,-2.0,2016
362,362,362,2016-12-28,0.0,1.375,2016
363,363,363,2016-12-29,0.0,-0.25,2016
364,364,364,2016-12-30,0.0,0.25,2016
365,365,365,2016-12-31,0.0,-1.625,2016
366,366,366,2017-01-01,0.0,-1.375,2017
367,367,367,2017-01-02,0.6,-0.375,2017
368,368,368,2017-01-03,0.0,-6.75,2017
369,369,369,2017-01-04,0.1,-13.5,2017
370,370,370,2017-01-05,0.0,-14.375,2017
371,371,371,2017-01-06,0.0,-14.75,2017
372,372,372,2017-01-07,0.0,-11.875,2017
373,373,373,2017-01-08,0.0,-10.25,2017
374,374,374,2017-01-09,0.0,-6.875,2017
375,375,375,2017-01-10,2.3,-3.625,2017
376,376,376,2017-01-11,0.0,-8.0,2017
377,377,377,2017-01-12,0.6,-11.875,2017
378,378,378,2017-01-13,0.0,-12.5,2017
379,379,379,2017-01-14,0.0,-8.125,2017
380,380,380,2017-01-15,0.4,-4.75,2017
381,381,381,2017-01-16,7.1000000000000005,-0.75,2017
382,382,382,2017-01-17,0.1,-1.875,2017
383,383,383,2017-01-18,0.0,0.0,2017
384,384,384,2017-01-19,0.0,1.875,2017
385,385,385,2017-01-20,0.1,2.375,2017
386,386,386,2017-01-21,1.1,2.625,2017
387,387,387,2017-01-22,0.1,0.75,2017
388,388,388,2017-01-23,0.0,0.125,2017
389,389,389,2017-01-24,0.1,-1.25,2017
390,390,390,2017-01-25,0.4,-2.0,2017
391,391,391,2017-01-26,0.0,-5.0,2017
392,392,392,2017-01-27,0.1,-6.25,2017
393,393,393,2017-01-28,0.0,-0.375,2017
394,394,394,2017-01-29,0.0,-1.375,2017
395,395,395,2017-01-30,0.0,1.5,2017
396,396,396,2017-01-31,0.0,1.0,2017
397,397,397,2017-02-01,0.0,-3.375,2017
398,398,398,2017-02-02,0.0,-8.875,2017
399,399,399,2017-02-03,0.0,-8.25,2017
400,400,400,2017-02-04,0.0,-2.5,2017
401,401,401,2017-02-05,0.0,-3.5,2017
402,402,402,2017-02-06,0.0,0.875,2017
403,403,403,2017-02-07,0.0,-1.875,2017
404,404,404,2017-02-08,0.7999999999999999,-10.0,2017
405,405,405,2017-02-09,0.0,-9.75,2017
406,406,406,2017-02-10,0.0,0.625,2017
407,407,407,2017-02-11,0.1,3.875,2017
408,408,408,2017-02-12,0.0,2.375,2017
409,409,409,2017-02-13,0.0,3.0,2017
410,410,410,2017-02-14,0.0,2.25,2017
411,411,411,2017-02-15,0.0,0.125,2017
412,412,412,2017-02-16,0.0,6.0,2017
413,413,413,2017-02-17,0.0,9.875,2017
414,414,414,2017-02-18,0.0,8.0,2017
415,415,415,2017-02-19,0.0,11.0,2017
416,416,416,2017-02-20,2.3,12.5,2017
417,417,417,2017-02-21,0.0,9.375,2017
418,418,418,2017-02-22,0.0,12.125,2017
419,419,419,2017-02-23,0.4,2.625,2017
420,420,420,2017-02-24,2.1,-4.25,2017
421,421,421,2017-02-25,0.0,-7.0,2017
422,422,422,2017-02-26,0.0,-3.125,2017
423,423,423,2017-02-27,0.1,1.0,2017
424,424,424,2017-02-28,1.1,4.25,2017
425,425,425,2017-03-01,0.0,0.625,2017
426,426,426,2017-03-02,0.1,-2.375,2017
427,427,427,2017-03-03,0.0,-2.25,2017
428,428,428,2017-03-04,0.0,2.875,2017
429,429,429,2017-03-05,0.1,10.375,2017
430,430,430,2017-03-06,0.2,14.125,2017
431,431,431,2017-03-07,0.0,5.5,2017
432,432,432,2017-03-08,0.0,3.875,2017
433,433,433,2017-03-09,0.0,0.125,2017
434,434,434,2017-03-10,0.0,-7.25,2017
435,435,435,2017-03-11,0.0,-6.25,2017
436,436,436,2017-03-12,0.0,-4.875,2017
437,437,437,2017-03-13,1.0,-7.0,2017
438,438,438,2017-03-14,0.0,-11.125,2017
439,439,439,2017-03-15,0.0,-8.0,2017
440,440,440,2017-03-16,0.1,1.375,2017
441,441,441,2017-03-17,0.0,6.125,2017
442,442,442,2017-03-18,0.0,2.875,2017
443,443,443,2017-03-19,0.3,9.5,2017
444,444,444,2017-03-20,0.0,10.5,2017
445,445,445,2017-03-21,0.0,3.875,2017
446,446,446,2017-03-22,0.0,1.75,2017
447,447,447,2017-03-23,0.0,6.875,2017
448,448,448,2017-03-24,1.0,8.5,2017
449,449,449,2017-03-25,4.3,4.625,2017
450,450,450,2017-03-26,0.2,4.5,2017
451,451,451,2017-03-27,0.0,6.375,2017
452,452,452,2017-03-28,0.0,7.75,2017
453,453,453,2017-03-29,5.6,5.375,2017
454,454,454,2017-03-30,0.30000000000000004,4.375,2017
455,455,455,2017-03-31,0.0,5.75,2017
456,456,456,2017-04-01,0.0,7.375,2017
457,457,457,2017-04-02,0.5,8.75,2017
458,458,458,2017-04-03,0.5,8.625,2017
459,459,459,2017-04-04,0.0,10.0,2017
460,460,460,2017-04-05,0.2,8.625,2017
461,461,461,2017-04-06,0.0,6.75,2017
462,462,462,2017-04-07,0.0,8.375,2017
463,463,463,2017-04-08,0.0,15.5,2017
464,464,464,2017-04-09,3.7,18.0,2017
465,465,465,2017-04-10,0.0,7.75,2017
466,466,466,2017-04-11,0.0,6.5,2017
467,467,467,2017-04-12,3.8000000000000003,11.625,2017
468,468,468,2017-04-13,0.6,13.75,2017
469,469,469,2017-04-14,1.6,16.5,2017
470,470,470,2017-04-15,0.4,18.5,2017
471,471,471,2017-04-16,0.0,14.25,2017
472,472,472,2017-04-17,0.0,15.0,2017
473,473,473,2017-04-18,0.1,16.0,2017
474,474,474,2017-04-19,7.8,10.25,2017
475,475,475,2017-04-20,0.0,8.75,2017
476,476,476,2017-04-21,0.0,9.25,2017
477,477,477,2017-04-22,0.0,12.0,2017
478,478,478,2017-04-23,0.0,14.25,2017
479,479,479,2017-04-24,0.0,15.5,2017
480,480,480,2017-04-25,0.0,10.75,2017
481,481,481,2017-04-26,0.0,5.875,2017
482,482,482,2017-04-27,0.0,4.125,2017
483,483,483,2017-04-28,0.9,3.25,2017
484,484,484,2017-04-29,0.7,5.75,2017
485,485,485,2017-04-30,0.2,4.25,2017
486,486,486,2017-05-01,0.0,4.25,2017
487,487,487,2017-05-02,0.0,9.0,2017
488,488,488,2017-05-03,0.0,11.25,2017
489,489,489,2017-05-04,0.0,13.0,2017
490,490,490,2017-05-05,0.0,16.25,2017
491,491,491,2017-05-06,0.0,16.75,2017
492,492,492,2017-05-07,0.0,17.875,2017
493,493,493,2017-05-08,3.0,21.125,2017
494,494,494,2017-05-09,0.0,19.125,2017
495,495,495,2017-05-10,0.3,14.75,2017
496,496,496,2017-05-11,0.0,13.625,2017
497,497,497,2017-05-12,0.0,16.0,2017
498,498,498,2017-05-13,0.0,19.5,2017
499,499,499,2017-05-14,0.1,21.5,2017
500,500,500,2017-05-15,10.8,23.875,2017
501,501,501,2017-05-16,3.8,23.75,2017
502,502,502,2017-05-17,1.8,18.75,2017
503,503,503,2017-05-18,0.0,13.625,2017
504,504,504,2017-05-19,1.9,7.625,2017
505,505,505,2017-05-20,8.4,8.875,2017
506,506,506,2017-05-21,0.0,7.625,2017
507,507,507,2017-05-22,0.9,14.375,2017
508,508,508,2017-05-23,0.1,10.875,2017
509,509,509,2017-05-24,0.1,12.375,2017
510,510,510,2017-05-25,0.6,15.375,2017
511,511,511,2017-05-26,13.8,18.5,2017
512,512,512,2017-05-27,0.0,16.75,2017
513,513,513,2017-05-28,0.1,17.625,2017
514,514,514,2017-05-29,0.30000000000000004,15.5,2017
515,515,515,2017-05-30,0.0,15.5,2017
516,516,516,2017-05-31,0.0,15.875,2017
517,517,517,2017-06-01,0.0,19.375,2017
518,518,518,2017-06-02,0.4,23.0,2017
519,519,519,2017-06-03,0.1,24.375,2017
520,520,520,2017-06-04,0.9,24.75,2017
521,521,521,2017-06-05,0.0,22.5,2017
522,522,522,2017-06-06,0.0,21.125,2017
523,523,523,2017-06-07,0.0,21.875,2017
524,524,524,2017-06-08,0.30000000000000004,22.25,2017
525,525,525,2017-06-09,0.0,24.25,2017
526,526,526,2017-06-10,0.0,26.25,2017
527,527,527,2017-06-11,0.1,27.125,2017
528,528,528,2017-06-12,5.0,26.5,2017
529,529,529,2017-06-13,0.0,25.875,2017
530,530,530,2017-06-14,0.2,23.75,2017
531,531,531,2017-06-15,0.0,24.25,2017
532,532,532,2017-06-16,3.2,23.375,2017
533,533,533,2017-06-17,0.6,20.625,2017
534,534,534,2017-06-18,0.2,18.125,2017
535,535,535,2017-06-19,0.2,19.625,2017
536,536,536,2017-06-20,0.0,21.5,2017
537,537,537,2017-06-21,0.9,22.75,2017
538,538,538,2017-06-22,6.6,23.25,2017
539,539,539,2017-06-23,0.1,17.25,2017
540,540,540,2017-06-24,0.0,15.75,2017
541,541,541,2017-06-25,0.0,14.375,2017
542,542,542,2017-06-26,0.0,15.375,2017
543,543,543,2017-06-27,0.0,17.625,2017
544,544,544,2017-06-28,8.4,23.5,2017
545,545,545,2017-06-29,3.2,22.375,2017
546,546,546,2017-06-30,0.0,20.0,2017
547,547,547,2017-07-01,0.0,19.125,2017
548,548,548,2017-07-02,6.000000000000001,22.375,2017
549,549,549,2017-07-03,0.9999999999999999,22.75,2017
550,550,550,2017-07-04,0.1,24.0,2017
551,551,551,2017-07-05,0.0,25.0,2017
552,552,552,2017-07-06,0.3,25.25,2017
553,553,553,2017-07-07,0.0,22.375,2017
554,554,554,2017-07-08,0.0,21.875,2017
555,555,555,2017-07-09,0.4,24.125,2017
556,556,556,2017-07-10,0.0,24.5,2017
557,557,557,2017-07-11,0.2,25.125,2017
558,558,558,2017-07-12,0.0,26.875,2017
559,559,559,2017-07-13,0.0,21.0,2017
560,560,560,2017-07-14,0.0,20.25,2017
561,561,561,2017-07-15,0.0,25.75,2017
562,562,562,2017-07-16,0.1,24.125,2017
563,563,563,2017-07-17,0.0,26.75,2017
564,564,564,2017-07-18,5.3999999999999995,25.75,2017
565,565,565,2017-07-19,1.9000000000000001,26.625,2017
566,566,566,2017-07-20,1.2,27.375,2017
567,567,567,2017-07-21,0.30000000000000004,26.5,2017
568,568,568,2017-07-22,0.0,25.375,2017
569,569,569,2017-07-23,0.0,22.125,2017
